Ethereum,,,,,,,,
22 Mar,$2.843b,"$142,391","$860,497",$12.47m,$1.381t,,,
23 Mar 2026,$2.819b,"$171,025","967,626",$27.27m,$1.357t,,,
24 Mar 2026,$3.292b,"$175,743","$999,401",$13.92m,$1.418t,,,
25 Mar 2026,$4.065b,"$188,626","$767,710",$12.5m,$1.411t,,,
26 Mar 2026,$4.423b,"$164,781","$588,776",$12.53m,$1.427t,,,
27 Mar 2026,$4.501b,"$177,136","$673,814",$11.61m,$1.376t,,,
28 Mar 2026,$4.351b,"$123,786","$390,066",$9.59m,$1.326t,,,
29 Mar 2026,$4.49b,"$108,820","$354,748",$9.54m,$1.327t,,,
"March 30, 2026",$4.466b,"$170,301","$520,915",$9.53m,$1.32t,,,
"March 31, 2026",$4.541b,"$167,574","$567,152",$121.99m,$1.335t,,,
,,,,,,,,
TRON,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
01 Mar,$4.047b,"$706,100",$34.63m,$82.53m,$26.715b,$86.035b,3.09m,10.14m TXs
02 Mar,$3.99b,$1.1m,$32.23m,$100.21m,$26.594b,$86.155b,3.28m,11.57m
03 Mar,$4.048b,$1.13m,$52.16m,$104.34m,$26.838b,$86.128b,3.34m,11.41m
04 Mar,$3.998b,$1.02m,$70.32m,$116.65m,$26.578b,$86.168b,3.31m,11.34m
05 Mar,$4.157b,$1.02m,$73.37m,$111.16m,$27.2b,$86.178b,3.23m,11.28m
06 Mar,$4.113b,$1m,$52.58m,$166.51m,$27.016b,$86.724b,3.33m,11.46m
07 Mar,$4.052b,"708,229",$26.47m,$71.78m,$26.971b,$86.721b,3.12m,10.32m
08 Mar,$4.004b,"$649,346",$41.47m,$76.87m,$27.15b,$86.719b,3.01m,9.96m
09 Mar 2026,$4.048b,$1.01m,$76.72m,$97.79m,$27.387b,$86.742b,3.3m,11.44m
10 Mar 2026,$4.056b,$1.13m,$57.8m,$69.41m,$27.049b,$86.735b,3.31m,11.74m
11 Mar 2026,$3.853b,"$976,664",$69.43m,$75.49m,$27.087b,$86.667b,3.29m,11.3m
12 Mar 2026,$3.889b,"$947,419",$50.26m,$70.64m,$27.564b,$86.819b,3.08m,10.92m
13 Mar 2026,$3.932b,$1.01m,$60.42m,$94.1m,$27.393b,$86.825b,3.17m,11.07m
14 Mar 2026,$3.942b,"$720,397",$64.54m,$64.75m,$27.8b,$86.842b,2.95m,10.01m
15 Mar 2026,$3.989b,"$762,110",$29.51m,$53.22m,$28.238b,$86.839b,2.91m,10.23m
16 Mar,$4.056b,$1.1m,$54.75m,$110.39m,$28.314b,$86.821b,2.9m,11.05m
17 Mar 2026,$4.092b,$1.13m,$81.91m,$70.37m,$28.018b,$86.811b,2.99m,11.0m
18 Mar 2026,$4.158b,$1.1m,$86.88m,$65.84m,$29.059b,$85.288b,3.02m,10.97m
19 Mar 2026,$4.066b,$1.09m,$89.04m,$53.32m,$28.843b,$85.304b,2.87m,10.76m
20 Mar 2026,$4.033b,"$983,550",$84.05m,$73.71m,$28.745b,$86.179b,2.94m,10.67m
21 Mar 2026,$4.066b,"$680,280",$75.3m,$42.69m,$29.367b,$86.197b,2.7m,9.53m
22 Mar 2026,$4.07b,"$639,036",$113.47m,$56.72m,$29.578b,$86.187b,2.61m,9.33m
23 Mar,$4.044b,$1.12m,$82.81m,$107.13m,$29.41b,$86.091b,2.92m,11m
24 Mar,$4.112b,$1.01m,$85.89m,$177.61m,$29.121b,$86.112b,2.95m,10.75m
25 Mar,$4.082b,"$967,634",$41.56m,$49.76m,$29.003b,$86.058b,2.94m,10.75m
26 Mar,$4.15b,"$995,454",$42.14m,$78.12m,$29.854b,$86.047b,2.91m,10.79m
27 Mar,$4.084b,"$981,135",$72.07m,$84.73m,$29.489b,$86.035b,2.93m,10.72m
28 Mar,$4.024b,"683,302",$59.7m,$50.83m,$29.427b,$86.044b,2.51m,9.14m
29 Mar,$4.064b,"$644,585",$62.86m,$55.42m,$29.991b,$86.037b,2.62m,9.19m
30 Mar 2026,$4.52b,$1.06m,$73.22m,$88.74m,$30.486b,$86.231b,2.92m,10.83m TXs
31 Mar 2026,$4.516b,$1.16m,$70.8m,$150.17m,$30.24b,$86.205b,3.06m,11.38m TXs
,,,,,,,,
BASE,,,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Stablecoins Mcap,Active Addresses,Transactions,
