Ethereum ,,,,,,
Date,TVL,Chain Fees,DEXs Volume,Perps Volume,Token Mcap,Active Addresses
25 May 2026,$5.093B,"$614,908",,,,
26 May 2026,$5.084B,"$515,030",,,,
27 May 2026,$5.007B,"$449,951",,,,
28 May 2026,$4.907B,"$623,551",,,,
29 May 2026,$4.821B,"$468,637",,,,
30 May 2026,$4.800B,"$379,496",,,,
31 May 2026,$4.831B,"$349,963",,,,
,,,,,,
Base,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Active Addresses,,
1 May 2026,$4.389b,$655.31m,$154.46m,"400,282",,
2 May 2026,$4.475b,$335.03m,$102.11m,"423,782",,
03 May 2026,$4.528b,$470.22m,$139.93m,"409,428",,
4 May 2026,$4.535b,$1.215b,$331.5m,"514,285",,
5 May 2026,$4.588b,$920.79m,$245.65m,"458,560",,
06 May 2026,$4.64b,$926.6m,$328.37m,"501,523",,
7 May,$4.633b,$801.9m,$212.17m,"504,421",,
08 May 2026,$4.569b,$775.93m,$205.4m,"490,660",,
09 May 2026,$4.532b,$542.03m,$138.15m,"436,778",,
10 May 2026,$4.579b,$734.54m,$179.29m,"408,093",,
11 May 2026,$4.641b,$885.15m,$193.37m,"440,536",,
12 May 2026,$4.625b,$845.31m,$195.49m,"409,921",,
13 May 2026,$4.957b,$837.51m,$217.96m,"451,318",,
14 May 2026,$4.904b,$981.13m,$294.88m,"429,686",,
15 May 2026,$5.012b,$1.059b,$252.11m,"378,642",,
16 May 2026,$4.896b,$585.5m,$118.79m,"366,726",,
17 May 2026,$4.832b,$753.92m,$154.58m,"375,595",,
18 May 2026,$4.776B,$1.222B,$214.22M,"452,686",,
19 May 2026,$4.463B,$1.017B,$175.51M,"407,338",,
20 May 2026,$4.446B,$1.025B,$226.77M,"436,802",,
21 May 2026,$4.499B,$1.205B,$296.83M,"460,246",,
22 May 2026,$4.521B,$1.128B,$345.28M,"474,317",,
23 May 2026,$4.422B,$1.203B,$241.56M,"451,193",,
24 May 2026,$4.482B,$1.004B,$187.43M,"431,725",,
25 May 2026,$4.506B,$968.66M,$167.51M,"458,583",,
26 May 2026,$4.520B,$1.263B,$263.56M,"468,146",,
27 May 2026,$4.466B,$1.295B,$250.37M,"495,359",,
28 May 2026,$4.399B,$1.251B,$365.35M,"440,877",,
29 May 2026,$4.377B,$1.156B,$335.80M,"434,416",,
30 May 2026,$4.386B,$775.26M,$163.76M,"354,476",,
31 May 2026,$4.405B,$810.68M,$171.69M,"379,823",,
,,,,,,
BSC,,,,,,
Date,TVL,DEXs Volume,Perps Volume,Active Addresses,Transactions,
01 May 2026,$5.442b,$658.26m,$270.63m,2.72m,15.59m TXs,
2 May 2026,$5.471b,$616.85m,$257.46m,2.47m,14.36m TXs,
3 May 2026,$5.486b,$746.51m,$269.24m,2.43m,14.32m TXs,
04 May 2026,$5.474b,$934.56m,$273.72m,2.74m,15.92m TXs,
5 May 2026,$5.534b,$650.11m,$273.99m,2.86m,15.22m TXs,
6 May 2026,$5.583b,$793.13m,$275.54m,2.8m,16.22m TXs,
7 May,$5.585b,$672.57m,$272.57m,2.79m,16.06m TXs,
08 May 2026,$5.522b,$614.44m,$277.27m,2.86m,15.86m TXs,
09 May 2026,$5.607b,$528.66m,$262.08m,2.5m,14.46m TXs,
10 May 2026,$5.602b,$558.05m,$266.62m,2.4m,13.58m TXs,
11 May 2026,$5.68b,$653.11m,$265.39m,2.63m,15.16m TXs,
12 May 2026,$5.668b,$605.55m,$266.96m,2.55m,14.7m TXs,
13 May 2026,$5.653b,$782.9m,$247.26m,2.63m,16.35m TXs,
14 May 2026,$5.661b,$823.76m,$259.88m,2.58m,16.75m TXs,
15 May 2026,$5.707b,$700m,$246.15m,2.7m,16.19m TXs,
16 May 2026,$5.629b,$556.62m,$256.11m,2.44m,14.56m TXs,
17 May 2026,$5.548b,$467.88m,$1.89m,2.34m,13.8m TXs,
18 May 2026,$5.517B,$637.32M,$271.61M,2.53M,15.15M TXs,
19 May 2026,$5.495B,$518.91M,$22.43M,2.56M,15.23M TXs,
20 May 2026,$5.471B,$573.33M,$25.24M,2.65M,15.09M TXs,
21 May 2026,$5.525B,$568.28M,$23.22M,2.72M,15.84M TXs,
22 May 2026,$5.540B,$673.79M,$13.85M,2.79M,18.10M TXs,
23 May 2026,$5.510B,$584.57M,$14.16M,2.57M,14.72M TXs,
24 May 2026,$5.562B,$537.71M,$9.76M,2.37M,14.36M TXs,
25 May 2026,$5.606B,$696.78M,$20.52M,2.46M,14.9M TXs,
26 May 2026,$5.623B,$711.44M,$22.62M,2.53M,15.06M TXs,
27 May 2026,$5.569B,$656.19M,$16.52M,2.61M,15.78M TXs,
28 May 2026,$5.515B,$795.28M,$22.19M,2.63M,16.13M TXs,
29 May 2026,$5.451B,$706M,$21.24M,2.47M,16.62M TXs,
30 May 2026,$5.486B,$912.65M,$8.58M,2.17M,15.56M TXs,
31 May 2026,$5.773B,$914.5M,$7.34M,2.19M,15.92M TXs,
