Ethereum Chain Data,,,,,,,,,
Date,TVL,Chain Fees,Chain Revenue,DEXs Volume,Perps Volume,Token Mcap,Stablecoins Mcap,Active Addresses,Transactions
08 Feb 2026,$4.009b,"$166,123","$165,841",$719.98m,$471.11m,$4.69b,"403,837",9.75m TXs,
09 Feb,$4.026b,"$156,273","$155,971",$902.88m,$492.52m,$4.677b,"416,499",9.76m,
10 Feb,$4.064b,"$134,997","$134,700",$754.65m,$388.32m,$4.694b,"419,036",10.56m,
11 Feb,$3.989b,"$176,557","$176,241",$882.05m,$497.2m,$4.698b,"438,993",11.48m,
12 Feb,$3.917b,"$124,439","$124,086",$794.67m,$369.45m,$4.724b,"468,334",11.99m,
13 Feb,$3.915b,"$160,390","$160,081",$1.021b,$687.32m,$4.705b,"433,108",10.65m,
14 Feb,$3.901b,"$110,269","$109,983",$430.37m,$269.55m,$4.669b,"402,805",10.36m,
15 Feb,$3.897b,"$146,476","$146,205",$606.92m,$301.8m,$4.648b,"332,232",10.21m ,
16 Feb,$3.882b,"$104,632","$104,362",$700.45m,$332.83m,$4.627b,"379,069",9.96m,
17 Feb,$3.917b,"$173,274","$172,996",$970.94m,$437.94m,$4.609b,"377,168",10.83m,
18 Feb,$3.858b,"$144,591","$144,278",$691.1m,$397.57m,$4.627b,"961,232",12.49m,
19 Feb,$3.797b,"$138,066","$137,758",$943.42m,$300.55m,$4.632b,"663,261",11.57m,
20 Feb,$3.839b,"$136,638","$136,341",$771.95m,$409.15m,$4.662b,"469,795",11.12m,
21 Feb,$3.872b,"$93,850","$93,590",$667.46m,$304.66m,$4.677b,"432,448",9.41m,
22 Feb,$3.9b,"$74,911","$74,702",$381.44m,$257.46m,$4.673b,"392,480",7.76m,
23 Feb 2026,$3.838b,"$142,048","$141,782",$745.6m,$375.64m,$4.672b,"429,465",11.11m,
24 Feb 2026,$3.754b,"$141,911","$141,623",$749.07m,$417.98m,$4.657b,"410,250",12.8m,
25 Feb 2026,$3.729b,"$203,348","$203,019",$1.085b,$492.29m,$4.668b,"485,065",10.6m,
26 Feb 2026,$3.94b,"$165,704","$165,396",$910.02m,$372.43m,$4.681b,"450,706",10.76m,
27 Feb 2026,$3.881b,"$138,796","$138,529",$1.083b,$365.68m,$4.665b,"410,443",10.17m,
28 Feb 2026,$3.827b,"$155,536","$155,233",$992.61m,$413.59m,$4.658b,"402,620",11.06m,
